intent,text,reply
specific_praise_event,[减肥](verb)40斤了，还在继续减，求表扬（异性交友目的请不要私信）,好棒！！！
specific_praise_event,我[教](verb)[老年人](object)用智能手机，然后被央视报道了！,太强了
specific_praise_event,今天自己[洗了](verb)3条[被子](object),靠自己双手创造创造生活，你是一个会享受美好生活的人
specific_praise_event,闲置了半年，重新[拿起](verb)[画笔](object),你好厉害，姐妹！你色彩过渡的好好！
specific_praise_event,小red书暑假已经[涨了](verb)[4000粉](object),厉害了哇  流量这种东西会让写手也上瘾吗
specific_praise_event,拒绝加班，从大厂[跑路](object)了,你的选择是正确的！没关系，不要害怕换工作（建立在理智的基础上），正因为年轻才要多尝试些才清楚自己真正想要的是什么、什么是真正适合自己的！祝愿小伙伴下份接好工作哦！
specific_praise_event,[做了](verb)一大锅[绿豆汤](object)，带了满满一壶冰镇的到单位,哇，巧手
specific_praise_sth,可以夸一下我做的[海报](sth)和包装设计吗！谢谢家人们,很棒啊，冲这罐子也得买一罐尝尝。包包也很好，如果日用品都带这种设计的话，像性别歧视等很多问题就能解决了。您做的事很棒！真的，不止是设计，更重要的是为什么而设计。技术慢慢总会发展，初衷是很难锻炼的。加油！
specific_praise_others,亲[弟弟](others)高考考了691分全省138名，求表扬！,挖！！
specific_praise_event,两天[读完](verb)了[两本书](object),好棒！
specific_praise_event,今天[背了](verb)好多[单词](object)！求夸夸,爱学习的朋友就是最棒的
specific_praise_event,很难起床，但努力[起床](verb)了,周天都能起床！你真的太棒啦！
specific_praise_event,提前[解决了](verb)[需求问题](object),大佬牛逼！！！
specific_praise_sth,[日记](sth)，求夸,今日感悟板块好棒
specific_praise_event,助学[贷款](object)已经[还完](verb)啦！两万四千多,自立自强也太棒了吧！！宝你一定又有自制力又有意志力！！！以后想做什么都会成功吧！！
specific_praise_event,求夸赞，工作八年[买房](verb)了，准备装修,好厉害！八年就能买房！
specific_praise_event,[放假](verb)啦耶耶耶,年纪轻轻 ，并没有流连享乐，辛苦工作，努力生活。值得点赞
specific_praise_event,我[资助](verb)了一个贫困[学生](object),楼主好棒！自己收到帮助也帮助别人！好人好报！
specific_praise_event,工作四年半[攒了](verb)[二十万](object),棒棒哒
specific_praise_event,蛙泳能泳1km还[学会](verb)了[自由泳](object)啦！,哇唔！楼楼好厉害啊！！
specific_praise_event,整个试场[面试](verb)[第一](adv),哇塞，好牛！
specific_praise_others,比较奇葩的[90后](others),不准算虚岁
specific_praise_event,一个人去医院，路上[提醒](verb)了一个[姐姐](object),很勇敢，也要保护好自己啊！
specific_praise_event,深夜多管闲事（[见义勇为](verb)）问女生要不要帮忙,楼主是个好人！其他人也是正常的好人，over！
specific_praise_event,求表扬|我[开始](verb)我的[副业](object)啦！,加油！
random_praise,近三年各方面失败，求安慰,不算失败呀，普通人的生活就是各种不容易！要专注自己，祝你接下来顺利！
